Client Order ID,Instrument,Side,Quantity,Price
u000117,Tulip,1,150,23.43
u000118,Tulip,1,110,81.35
u000119,Orchid,2,710,47.93
u000120,Orchid,2,560,47.13
u000121,Lotus,2,900,127.6
u000122,Tulip,1,90,134.22
u000123,Tulip,2,120,116.19
u000124,Orchid,1,610,93.43
u000125,Tulip,2,130,12.18
u000126,Rose,2,710,28.93
u000127,Rose,2,220,34.11
u000128,Tulip,1,970,124.02
u000129,Tulip,2,590,73.97
u000130,Rose,2,380,76.44
u000131,Lavender,1,950,30.03
u000132,Rose,1,910,94.92
u000133,Orchid,2,190,65.34
u000134,Orchid,2,740,139.65
u000135,Rose,1,240,44.34
u000136,Lotus,1,820,28.95
u000137,Lotus,1,740,87.41
u000138,Lavender,2,370,72.35
u000139,Lotus,2,560,12.06
u000140,Rose,2,980,133.77
u000141,Lotus,1,350,10.46
u000142,Tulip,1,50,120.36
u000143,Rose,2,190,70.02
u000144,Lotus,1,920,67.4
u000145,Lotus,2,120,15.34
u000146,Tulip,1,360,25.53
u000147,Orchid,1,10,71.84
u000148,Rose,1,380,122.48
u000149,Lavender,1,940,104.31
u000150,Rose,2,590,41.91
u000151,Tulip,1,700,15.95
u000152,Lotus,2,570,75.75
u000153,Rose,2,870,66.95
u000154,Rose,1,90,106.38
u000155,Lavender,2,390,15.46
u000156,Tulip,2,840,25.74
u000157,Tulip,1,200,108.29
u000158,Rose,2,460,88.16
u000159,Lotus,2,620,48.27
u000160,Lavender,2,40,29.24
u000161,Tulip,2,290,60.48
u000162,Orchid,2,310,49.02
u000163,Rose,1,390,96.45
u000164,Lavender,1,550,94.18
u000165,Tulip,2,600,107.57
u000166,Orchid,1,560,131.43
u000167,Lavender,2,650,136.02
u000168,Lavender,1,770,93.85
u000169,Lavender,1,930,127.27
u000170,Orchid,1,240,15.08
u000171,Lotus,1,1000,123.2
u000172,Rose,2,750,140.62
u000173,Orchid,2,80,129.91
u000174,Tulip,1,60,82.02
u000175,Tulip,1,640,18.95
u000176,Lotus,1,730,102.85
u000177,Orchid,1,740,54.69
u000178,Lotus,2,490,139.36
u000179,Orchid,1,330,146.33
u000180,Tulip,2,390,73.05
u000181,Lotus,2,120,75.53
u000182,Lavender,1,480,36.51
u000183,Lavender,2,760,26.02
u000184,Lavender,2,380,76.31
u000185,Tulip,2,660,94.78
u000186,Lavender,2,740,86.49
u000187,Lavender,1,720,25.51
u000188,Rose,2,750,74.74
u000189,Tulip,1,280,72.35
u000190,Tulip,2,600,32.45
u000191,Orchid,2,1000,141.23
u000192,Tulip,1,930,57.05
u000193,Lavender,2,970,128.36
u000194,Lotus,1,430,135.1
u000195,Orchid,2,890,61.15
u000196,Lotus,2,20,37.02
u000197,Lavender,1,320,11.46
u000198,Tulip,2,260,25.51
u000199,Tulip,1,660,73.62
u000200,Lavender,2,810,13.13
u000201,Tulip,2,810,67.23
u000202,Lavender,1,920,108.16
u000203,Orchid,1,990,58.54
u000204,Lavender,1,320,85.62
u000205,Lavender,1,680,95.99
u000206,Lavender,1,230,39.81
u000207,Lotus,2,200,20.93
u000208,Orchid,2,110,45.21
u000209,Orchid,2,270,149.72
u000210,Orchid,1,820,15.98
u000211,Orchid,2,900,20.85
u000212,Orchid,2,790,49.73
u000213,Tulip,1,250,113.03
u000214,Orchid,2,620,65.82
u000215,Lotus,2,920,108.95
u000216,Rose,2,60,79.8
u000217,Orchid,1,620,112.72
u000218,Lotus,1,130,127.19
u000219,Orchid,1,120,33.71
u000220,Lotus,1,350,65.95
u000221,Orchid,1,260,53.31
u000222,Lotus,1,620,109.49
u000223,Lotus,1,840,59.81
u000224,Lavender,1,390,92.13
u000225,Lotus,1,70,39.23
u000226,Lotus,1,770,113.29
u000227,Tulip,2,330,23.14
u000228,Tulip,2,980,110.72
u000229,Lotus,1,380,124.01
u000230,Orchid,2,30,83.75
u000231,Orchid,1,890,103.93
u000232,Rose,2,820,84.17
u000233,Lotus,1,360,91.09
u000234,Lavender,1,620,87.48
u000235,Tulip,1,300,11.0
u000236,Tulip,2,510,46.34
u000237,Tulip,1,280,102.29
u000238,Rose,1,480,88.42
u000239,Lavender,1,300,89.68
u000240,Rose,2,900,47.3
u000241,Orchid,2,700,21.34
u000242,Orchid,1,880,36.44
u000243,Tulip,2,860,67.95
u000244,Tulip,1,770,57.92
u000245,Lotus,2,200,120.14
u000246,Tulip,2,550,17.78
u000247,Tulip,2,580,132.44
u000248,Tulip,1,340,15.0
u000249,Orchid,2,920,72.05
u000250,Lavender,1,810,11.01
u000251,Orchid,2,460,133.86
u000252,Lavender,2,970,41.12
u000253,Orchid,1,400,98.51
u000254,Rose,1,390,115.81
u000255,Lotus,1,870,59.31
u000256,Tulip,1,190,34.48
u000257,Tulip,1,140,125.1
u000258,Tulip,1,380,127.38
u000259,Orchid,2,260,115.75
u000260,Orchid,1,700,97.64
u000261,Rose,1,420,64.58
u000262,Lavender,1,590,108.87
u000263,Lotus,2,40,54.12
u000264,Tulip,1,20,65.76
u000265,Orchid,2,400,86.6
u000266,Orchid,2,390,14.55
u000267,Rose,2,920,103.69
u000268,Rose,1,390,79.98
u000269,Tulip,1,620,117.11
u000270,Lotus,2,250,106.72
u000271,Orchid,1,850,143.8
u000272,Lotus,2,420,26.39
u000273,Lavender,2,300,130.08
u000274,Orchid,1,640,69.48
u000275,Rose,1,270,82.0
u000276,Rose,2,600,54.67
u000277,Lavender,2,60,89.4
u000278,Lavender,1,710,30.39
u000279,Orchid,2,250,82.07
u000280,Rose,2,950,140.53
u000281,Rose,1,500,128.03
u000282,Lavender,1,910,55.91
u000283,Orchid,1,390,130.66
u000284,Lavender,2,70,91.28
u000285,Tulip,1,340,69.03
u000286,Lavender,1,520,58.22
u000287,Tulip,1,830,53.32
u000288,Lotus,2,780,147.81
u000289,Orchid,1,110,53.19
u000290,Rose,2,920,137.97
u000291,Tulip,1,920,92.56
u000292,Tulip,1,610,42.42
u000293,Rose,1,500,16.22
u000294,Lavender,2,440,73.14
u000295,Tulip,2,160,149.92
u000296,Lotus,2,960,149.03
u000297,Lotus,1,760,52.73
u000298,Rose,1,480,134.01
u000299,Lavender,1,720,93.1
u000300,Tulip,2,960,89.49
u000301,Lotus,1,130,133.74
u000302,Rose,1,810,130.57
u000303,Tulip,1,90,130.0
u000304,Tulip,1,20,72.26
u000305,Lotus,2,840,23.08
u000306,Lavender,1,130,53.25
u000307,Lotus,1,770,111.25
u000308,Lotus,2,690,32.98
u000309,Lavender,1,110,123.94
u000310,Tulip,1,320,136.19
u000311,Tulip,1,470,59.71
u000312,Orchid,1,340,134.46
u000313,Tulip,1,170,86.74
u000314,Lotus,1,630,70.41
u000315,Tulip,2,540,37.53
u000316,Lavender,1,80,36.16
u000317,Rose,2,640,60.29
u000318,Lotus,1,550,22.15
u000319,Lavender,2,200,12.15
u000320,Lavender,1,950,99.12
u000321,Lotus,1,540,36.1
u000322,Lavender,1,110,146.54
u000323,Rose,2,170,30.44
u000324,Lavender,1,570,54.16
u000325,Tulip,1,830,32.14
u000326,Rose,2,700,44.99
u000327,Lotus,1,790,122.33
u000328,Rose,1,960,27.67
u000329,Orchid,1,670,103.01
u000330,Tulip,1,790,102.16
u000331,Lotus,2,310,76.09
u000332,Rose,2,990,77.91
u000333,Lotus,2,60,108.61
u000334,Tulip,2,950,135.82
u000335,Rose,2,830,69.59
u000336,Lotus,1,240,80.17
u000337,Tulip,1,110,29.76
u000338,Tulip,1,640,121.01
u000339,Lavender,2,190,95.41
u000340,Lavender,1,450,113.81
u000341,Lotus,2,140,140.76
u000342,Tulip,2,170,129.15
u000343,Lavender,1,420,48.11
u000344,Orchid,1,550,47.83
u000345,Rose,1,600,57.01
u000346,Lotus,1,920,140.36
u000347,Lavender,1,630,74.79
u000348,Tulip,2,130,107.26
u000349,Rose,1,660,61.76
u000350,Lavender,2,180,133.14
u000351,Rose,1,510,42.46
u000352,Orchid,1,980,81.65
u000353,Tulip,2,610,146.67
u000354,Tulip,1,870,141.35
u000355,Orchid,1,280,141.75
u000356,Tulip,2,880,54.44
u000357,Lotus,2,1000,37.26
u000358,Orchid,2,970,28.3
u000359,Orchid,2,450,74.88
u000360,Tulip,2,610,124.51
u000361,Tulip,1,1000,60.96
u000362,Orchid,1,660,13.02
u000363,Lavender,1,140,106.36
u000364,Lotus,2,70,136.35
u000365,Orchid,1,170,78.74
u000366,Orchid,1,940,123.45
u000367,Lotus,1,160,10.57
u000368,Tulip,2,400,92.88
u000369,Lavender,2,940,74.55
u000370,Lavender,2,920,102.27
u000371,Lotus,2,610,133.61
u000372,Lotus,1,470,23.56
u000373,Rose,2,360,26.73
u000374,Rose,1,230,136.79
u000375,Lavender,2,200,133.49
u000376,Orchid,1,350,16.43
u000377,Orchid,1,140,72.26
u000378,Orchid,2,590,121.62
u000379,Lavender,2,750,21.48
u000380,Rose,2,450,23.07
u000381,Lavender,1,490,60.67
u000382,Tulip,1,560,108.45
u000383,Rose,1,780,134.64
u000384,Tulip,2,970,59.34
u000385,Lotus,1,10,76.43
u000386,Orchid,2,30,123.71
u000387,Lotus,1,380,12.29
u000388,Lavender,2,630,38.18
u000389,Tulip,2,110,93.59
u000390,Tulip,2,500,70.32
u000391,Tulip,2,960,138.13
u000392,Orchid,1,740,26.55
u000393,Tulip,2,80,97.58
u000394,Orchid,1,300,105.4
u000395,Rose,1,980,140.75
u000396,Tulip,1,400,65.99
u000397,Tulip,2,160,73.12
u000398,Tulip,1,430,128.94
u000399,Lotus,2,790,72.65
u000400,Tulip,1,20,65.87
u000401,Lotus,2,330,16.65
u000402,Tulip,1,100,82.24
u000403,Rose,1,180,121.57
u000404,Rose,1,850,74.63
u000405,Rose,1,530,85.87
u000406,Tulip,1,340,84.29
u000407,Orchid,1,50,99.82
u000408,Orchid,1,100,69.62
u000409,Rose,2,280,136.37
u000410,Orchid,1,160,120.72
u000411,Orchid,1,590,99.63
u000412,Lavender,1,780,137.5
u000413,Lavender,1,950,17.78
u000414,Rose,2,490,32.97
u000415,Lotus,1,890,47.13
u000416,Tulip,1,830,125.89
u000417,Rose,1,580,86.4
u000418,Lotus,1,140,148.98
u000419,Tulip,2,570,118.92
u000420,Lavender,1,190,113.65
u000421,Rose,2,560,43.88
u000422,Orchid,1,690,21.85
u000423,Lotus,1,250,123.33
u000424,Orchid,2,420,93.41
u000425,Lotus,1,730,28.27
u000426,Lavender,2,50,53.87
u000427,Orchid,2,620,62.22
u000428,Tulip,1,140,42.64
u000429,Tulip,2,830,117.07
u000430,Rose,2,670,33.24
u000431,Lotus,2,770,123.84
u000432,Lotus,2,300,103.71
u000433,Rose,1,880,61.38
u000434,Lotus,1,120,122.56
u000435,Orchid,1,150,73.62
u000436,Orchid,1,110,35.95
u000437,Orchid,1,620,129.94
u000438,Lotus,2,410,23.95
u000439,Orchid,1,630,96.43
u000440,Orchid,1,540,138.57
u000441,Orchid,1,550,138.0
u000442,Orchid,2,530,38.83
u000443,Orchid,2,430,65.37
u000444,Rose,2,930,39.19
u000445,Tulip,2,30,94.72
u000446,Rose,1,960,28.68
u000447,Orchid,2,720,110.78
u000448,Orchid,2,300,118.84
u000449,Lavender,1,100,120.05
u000450,Tulip,1,680,63.56
u000451,Rose,2,180,88.69
u000452,Lavender,1,730,134.98
u000453,Orchid,2,950,126.38
u000454,Rose,2,380,18.0
u000455,Lavender,1,620,123.41
u000456,Lotus,1,460,81.15
u000457,Tulip,2,20,42.43
u000458,Orchid,2,310,63.22
u000459,Lotus,1,220,66.47
u000460,Rose,1,600,14.32
u000461,Rose,2,110,76.35
u000462,Lotus,1,460,32.63
u000463,Orchid,2,140,33.14
u000464,Tulip,2,790,91.56
u000465,Lotus,2,920,30.88
u000466,Lotus,2,140,119.08
u000467,Lavender,1,790,124.26
u000468,Rose,2,730,81.91
u000469,Orchid,2,440,126.88
u000470,Rose,1,980,12.98
u000471,Tulip,2,790,126.22
u000472,Lavender,2,350,114.85
u000473,Orchid,2,770,123.18
u000474,Tulip,1,220,147.86
u000475,Tulip,2,190,116.19
u000476,Orchid,2,590,70.55
u000477,Lavender,2,80,108.05
u000478,Lavender,1,420,89.72
u000479,Lotus,1,330,146.75
u000480,Rose,2,560,15.24
u000481,Lavender,1,150,81.43
u000482,Lotus,1,250,85.43
u000483,Lavender,1,40,13.36
u000484,Tulip,2,490,54.73
u000485,Lavender,1,460,50.29
u000486,Lavender,1,430,123.22
u000487,Rose,1,560,104.95
u000488,Orchid,1,670,41.76
u000489,Orchid,2,510,21.43
u000490,Lavender,2,880,14.36
u000491,Lavender,1,650,93.49
u000492,Lavender,1,450,29.15
u000493,Tulip,1,820,113.71
u000494,Lavender,1,710,67.85
u000495,Orchid,1,50,16.78
u000496,Rose,2,180,16.03
u000497,Orchid,1,790,54.56
u000498,Tulip,2,940,17.16
u000499,Lavender,2,540,58.51
u000500,Lavender,1,310,104.69
u000501,Lotus,2,330,68.89
u000502,Lavender,1,10,132.75
u000503,Tulip,2,300,45.57
u000504,Rose,1,580,27.09
u000505,Orchid,2,620,76.92
u000506,Tulip,2,380,67.04
u000507,Lotus,2,460,86.05
u000508,Lavender,2,860,44.26
u000509,Orchid,1,450,121.28
u000510,Rose,1,790,34.75
u000511,Lotus,1,350,66.67
u000512,Rose,1,510,46.05
u000513,Rose,2,90,52.32
u000514,Lavender,2,350,92.63
u000515,Lotus,1,590,113.84
u000516,Lavender,2,600,27.4
u000517,Lotus,1,210,18.37
u000518,Tulip,2,930,124.38
u000519,Rose,2,400,100.18
u000520,Rose,2,440,77.1
u000521,Rose,2,460,132.04
u000522,Lavender,2,500,124.04
u000523,Lotus,2,910,67.96
u000524,Tulip,2,330,50.33
u000525,Orchid,2,50,25.45
u000526,Lotus,1,220,114.07
u000527,Lavender,2,160,86.09
u000528,Lavender,1,500,118.42
u000529,Lotus,1,660,38.55
u000530,Tulip,2,820,84.12
u000531,Orchid,2,540,34.14
u000532,Rose,2,190,41.76
u000533,Orchid,1,620,139.31
u000534,Orchid,2,890,92.81
u000535,Orchid,1,620,132.82
u000536,Lavender,2,120,134.84
u000537,Rose,2,100,106.01
u000538,Tulip,2,400,92.96
u000539,Tulip,2,90,84.0
u000540,Lotus,2,840,73.35
u000541,Lotus,2,300,132.43
u000542,Rose,1,670,147.47
u000543,Lotus,1,120,109.12
u000544,Orchid,1,140,24.04
u000545,Rose,1,760,130.01
u000546,Rose,1,960,55.4
u000547,Rose,2,430,46.15
u000548,Tulip,2,800,58.71
u000549,Rose,2,930,88.45
u000550,Lotus,2,610,79.18
u000551,Orchid,1,810,72.78
u000552,Lotus,2,460,52.0
u000553,Tulip,1,270,22.42
u000554,Lotus,2,400,22.75
u000555,Orchid,1,610,117.6
u000556,Orchid,2,330,70.19
u000557,Rose,1,530,111.98
u000558,Lavender,2,870,83.13
u000559,Lavender,1,290,63.18
u000560,Lotus,1,510,77.16
u000561,Rose,1,960,66.31
u000562,Tulip,2,600,15.95
u000563,Lavender,1,780,147.1
u000564,Lotus,2,930,56.33
u000565,Tulip,2,860,103.77
u000566,Lotus,2,10,35.81
u000567,Rose,1,870,63.02
u000568,Orchid,1,890,49.98
u000569,Lotus,1,610,126.44
u000570,Rose,2,990,20.0
u000571,Lavender,1,500,20.57
u000572,Orchid,1,310,121.44
u000573,Orchid,1,270,98.4
u000574,Orchid,2,650,48.57
u000575,Lotus,2,140,35.71
u000576,Lavender,1,270,103.49
u000577,Lavender,2,740,115.95
u000578,Orchid,1,610,19.9
u000579,Tulip,1,490,90.51
u000580,Tulip,2,840,15.61
u000581,Tulip,2,320,107.38
u000582,Tulip,1,50,93.62
u000583,Tulip,2,10,121.77
u000584,Rose,1,900,81.42
u000585,Lavender,2,180,146.75
u000586,Lavender,1,900,65.5
u000587,Lavender,1,120,110.58
u000588,Rose,2,100,36.1
u000589,Orchid,2,960,51.11
u000590,Lotus,1,270,88.95
u000591,Lotus,2,590,89.62
u000592,Orchid,2,200,112.9
u000593,Orchid,2,680,59.71
u000594,Lotus,2,960,113.85
u000595,Orchid,1,470,61.24
u000596,Lotus,2,870,67.91
u000597,Orchid,1,360,86.0
u000598,Tulip,1,160,82.49
u000599,Lavender,1,670,91.84
u000600,Rose,1,60,149.14
u000601,Rose,1,330,102.63
u000602,Tulip,2,200,34.54
u000603,Orchid,1,270,29.39
u000604,Lavender,2,390,21.07
u000605,Lavender,1,670,123.29
u000606,Tulip,2,470,62.37
u000607,Lavender,1,850,120.07
u000608,Lotus,1,30,75.53
u000609,Lotus,1,100,15.41
u000610,Tulip,2,50,149.81
u000611,Lavender,2,540,46.58
u000612,Tulip,1,890,106.35
u000613,Tulip,2,350,87.64
u000614,Lavender,2,590,108.64
u000615,Lotus,2,500,40.82
u000616,Tulip,1,310,129.57
u000617,Orchid,2,760,92.49
u000618,Lotus,1,850,12.52
u000619,Lotus,2,990,108.83
u000620,Lotus,2,610,143.85
u000621,Rose,2,1000,31.21
u000622,Lavender,2,350,27.08
u000623,Lotus,1,700,105.58
u000624,Orchid,2,450,121.86
u000625,Orchid,1,990,97.94
u000626,Orchid,2,620,122.71
u000627,Tulip,1,120,66.06
u000628,Lotus,2,1000,97.75
u000629,Rose,1,390,126.89
u000630,Orchid,2,930,107.35
u000631,Orchid,2,380,148.51
u000632,Rose,1,150,128.42
u000633,Orchid,1,540,33.22
u000634,Lavender,1,970,36.77
u000635,Lotus,1,70,136.95
u000636,Tulip,2,490,40.62
u000637,Rose,1,730,21.85
u000638,Lotus,2,270,122.94
u000639,Tulip,1,910,19.88
u000640,Orchid,1,600,72.55
u000641,Lavender,1,660,70.25
u000642,Rose,2,810,62.7
u000643,Lavender,1,250,13.3
u000644,Rose,2,950,137.2
u000645,Orchid,2,650,119.32
u000646,Rose,2,360,131.37
u000647,Lotus,1,390,76.48
u000648,Rose,2,350,22.48
u000649,Lotus,2,370,116.76
u000650,Lavender,2,470,78.45
u000651,Lavender,1,950,125.35
u000652,Lotus,2,470,51.46
u000653,Lavender,1,990,15.03
u000654,Tulip,2,20,13.47
u000655,Rose,2,60,63.58
u000656,Orchid,1,650,101.72
u000657,Lotus,1,650,132.22
u000658,Orchid,2,350,75.65
u000659,Orchid,2,140,56.81
u000660,Orchid,1,500,89.69
u000661,Lavender,2,900,89.29
u000662,Orchid,2,660,48.36
u000663,Tulip,2,150,27.15
u000664,Tulip,1,790,88.55
u000665,Orchid,2,650,109.09
u000666,Rose,1,10,59.05
u000667,Tulip,2,260,106.4
u000668,Lotus,2,510,62.83
u000669,Orchid,1,560,38.78
u000670,Orchid,2,150,129.27
u000671,Orchid,2,890,95.79
u000672,Lavender,2,170,147.84
u000673,Rose,2,440,134.49
u000674,Orchid,1,260,27.39
u000675,Orchid,1,440,118.61
u000676,Orchid,2,420,30.3
u000677,Orchid,1,810,140.58
u000678,Lotus,2,100,70.5
u000679,Lotus,1,440,56.57
u000680,Rose,2,860,81.27
u000681,Orchid,1,690,66.24
u000682,Orchid,1,710,28.83
u000683,Orchid,1,870,14.34
u000684,Lotus,2,320,96.96
u000685,Lavender,1,850,34.75
u000686,Lotus,1,910,102.79
u000687,Tulip,1,860,135.57
u000688,Rose,1,70,84.48
u000689,Tulip,1,780,59.11
u000690,Tulip,1,800,115.06
u000691,Orchid,2,260,34.64
u000692,Rose,1,70,81.97
u000693,Tulip,1,770,44.68
u000694,Orchid,2,770,42.2
u000695,Lotus,1,290,117.52
u000696,Lotus,2,370,71.41
u000697,Lotus,1,950,127.19
u000698,Lotus,2,330,41.02
u000699,Lavender,1,570,88.15
u000700,Lavender,1,460,87.21
u000701,Rose,1,570,94.92
u000702,Lotus,2,500,107.12
u000703,Lavender,1,60,74.85
u000704,Lotus,1,590,65.45
u000705,Tulip,1,340,41.82
u000706,Lotus,2,530,35.85
u000707,Tulip,1,900,133.82
u000708,Lavender,1,800,61.72
u000709,Rose,2,870,72.3
u000710,Tulip,1,880,43.02
u000711,Tulip,1,420,47.83
u000712,Tulip,2,600,133.93
u000713,Lavender,2,440,125.17
u000714,Tulip,1,700,23.66
u000715,Rose,1,720,107.57
u000716,Tulip,1,300,116.28
u000717,Orchid,2,460,20.99
u000718,Orchid,1,30,101.19
u000719,Tulip,2,620,141.82
u000720,Tulip,2,490,90.26
u000721,Tulip,2,990,65.42
u000722,Tulip,1,580,147.7
u000723,Lavender,1,160,129.39
u000724,Lotus,2,190,12.94
u000725,Rose,2,720,83.8
u000726,Rose,2,420,37.97
u000727,Rose,1,980,37.32
u000728,Tulip,2,140,131.14
u000729,Rose,1,810,59.25
u000730,Orchid,2,770,96.4
u000731,Lotus,1,400,97.47
u000732,Lavender,1,30,146.62
u000733,Orchid,2,470,61.51
u000734,Rose,1,170,33.48
u000735,Lotus,2,380,117.56
u000736,Orchid,1,460,14.67
u000737,Tulip,1,390,39.41
u000738,Rose,1,520,62.81
u000739,Lavender,1,150,41.9
u000740,Tulip,2,750,149.29
u000741,Lotus,2,320,58.16
u000742,Rose,2,870,62.58
u000743,Tulip,2,130,96.75
u000744,Rose,1,310,136.89
u000745,Tulip,2,510,112.11
u000746,Lavender,2,70,128.14
u000747,Lotus,2,500,129.17
u000748,Tulip,2,710,101.61
u000749,Orchid,2,710,65.28
u000750,Rose,2,690,49.02
u000751,Orchid,2,530,114.47
u000752,Tulip,2,220,82.96
u000753,Rose,2,960,95.72
u000754,Rose,1,790,70.64
u000755,Lavender,1,350,115.32
u000756,Tulip,1,730,50.31
u000757,Lotus,1,900,42.12
u000758,Lavender,2,550,75.59
u000759,Orchid,2,560,77.6
u000760,Lavender,2,250,97.5
u000761,Rose,2,510,76.27
u000762,Tulip,2,180,137.84
u000763,Lotus,1,50,141.57
u000764,Orchid,2,300,50.41
u000765,Tulip,2,1000,136.5
u000766,Tulip,2,330,40.21
u000767,Lavender,1,580,105.8
u000768,Lotus,2,380,13.71
u000769,Lavender,1,910,50.44
u000770,Lavender,2,720,55.82
u000771,Orchid,1,150,98.45
u000772,Lotus,1,70,51.66
u000773,Tulip,1,790,110.76
u000774,Orchid,1,930,66.63
u000775,Tulip,1,320,112.78
u000776,Lotus,2,270,63.14
u000777,Lotus,2,870,33.9
u000778,Tulip,2,860,106.96
u000779,Lotus,2,250,144.7
u000780,Tulip,2,40,47.2
u000781,Orchid,2,930,144.93
u000782,Orchid,1,1000,92.25
u000783,Tulip,1,810,19.47
u000784,Rose,1,720,17.39
u000785,Lotus,2,730,64.37
u000786,Lavender,1,540,109.54
u000787,Rose,1,130,94.96
u000788,Tulip,1,870,66.03
u000789,Lotus,1,860,115.98
u000790,Rose,1,970,97.56
u000791,Rose,2,950,119.23
u000792,Lotus,1,540,17.99
u000793,Orchid,2,720,85.23
u000794,Lotus,2,900,115.24
u000795,Orchid,1,560,20.06
u000796,Tulip,1,130,50.11
u000797,Lotus,1,940,55.21
u000798,Orchid,1,60,121.31
u000799,Rose,1,730,74.51
u000800,Lotus,1,510,26.56
u000801,Lavender,1,480,106.23
u000802,Rose,2,270,88.11
u000803,Rose,2,90,41.16
u000804,Tulip,2,280,21.12
u000805,Lotus,2,860,30.92
u000806,Lavender,1,160,87.61
u000807,Lotus,1,710,127.7
u000808,Lavender,2,990,140.11
u000809,Lotus,2,850,34.34
u000810,Tulip,1,150,66.95
u000811,Orchid,2,850,122.51
u000812,Rose,1,940,128.77
u000813,Lavender,2,130,75.11
u000814,Rose,1,140,128.47
u000815,Orchid,2,130,110.54
u000816,Rose,1,530,142.84
u000817,Rose,1,690,48.15
u000818,Rose,2,790,128.95
u000819,Orchid,2,350,51.37
u000820,Lotus,1,70,66.49
u000821,Lotus,2,850,147.18
u000822,Orchid,1,800,105.51
u000823,Lotus,2,610,38.88
u000824,Orchid,1,710,142.73
u000825,Orchid,1,700,114.52
u000826,Lavender,1,730,35.27
u000827,Orchid,2,530,108.26
u000828,Orchid,1,30,135.5
